kepid,kepoi_name,planet_name,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag,P_STATUS,P_MASS,P_MASS_ERROR_MIN,P_MASS_ERROR_MAX,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,P_TPERI,P_ANGULAR_DISTANCE,star_name,S_RA,S_DEC,S_MAG,S_DISTANCE,S_METALLICITY,S_MASS,S_RADIUS,S_TYPE,S_AGE,S_TEMPERATURE,S_LOG_G,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_FLUX_MIN,P_FLUX_MAX,P_TEMP_EQUIL,P_TEMP_EQUIL_MIN,P_TEMP_EQUIL_MAX,P_TYPE,S_RADIUS_EST,S_LUMINOSITY,S_HZ_OPT_MIN,S_HZ_OPT_MAX,S_HZ_CON_MIN,S_HZ_CON_MAX,S_HZ_CON0_MIN,S_HZ_CON0_MAX,S_HZ_CON1_MIN,S_HZ_CON1_MAX,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_HABITABLE,P_ESI,P_RADIUS_EST,P_MASS_EST,P_SEMI_MAJOR_AXIS_EST
10797460,K00752.01,Kepler-227 b,9.48803557,170.53875,0.146,2.9575,615.8,2.26,793.0,93.59,35.8,5455.0,4.467,0.927,291.93423,48.141651,15.347,3.0,,,,9.488015,0.09,,,,,0.0805,Kepler-227,291.93424,48.141651,15.347,1117.5,,,1.09,,,5854.0,4.4,,0.09,0.09,0.09,0.090000002,154.33609,154.33609,154.33609,897.96991,897.96991,897.96991,Neptunian,1.09,1.2501223,0.83524632,1.9639424,1.0579408,1.861996,1.1186367,1.861996,1.0212266,1.861996,3.0188395,,,0.0,0.0,0.0,0.21342875,3.10517,9.8298521,0.09
10797460,K00752.02,Kepler-227 c,54.4183827,162.51384,0.586,4.507,874.8,2.83,443.0,9.11,25.8,5455.0,4.467,0.927,291.93423,48.141651,15.347,3.0,,,,54.418694,0.29,,,,,0.26,Kepler-227,291.93424,48.141651,15.347,1117.5,,,1.09,,,5854.0,4.4,,0.29,0.29,0.29,0.29000001,14.864713,14.864713,14.864713,500.24648,500.24648,500.24648,Neptunian,1.09,1.2501223,0.83524632,1.9639424,1.0579408,1.861996,1.1186367,1.861996,1.0212266,1.861996,3.0188395,,,0.0,0.0,0.0,0.28639051,3.03791,9.4710941,0.29
10811496,K00753.01,,19.89913995,175.850252,0.969,1.7822,10829.0,14.6,638.0,39.3,76.3,5853.0,4.544,0.868,297.00482,48.134129,15.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10848459,K00754.01,,1.736952453,170.307565,1.276,2.40641,8079.2,33.46,1395.0,891.96,505.6,5805.0,4.564,0.791,285.53461,48.28521,15.597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10854555,K00755.01,Kepler-664 b,2.525591777,171.59555,0.701,1.6545,603.3,2.75,1406.0,926.16,40.9,6031.0,4.438,1.046,288.75488,48.2262,15.509,3.0,,,,2.5255933,,,,,,,Kepler-664,288.75489,48.2262,15.509,1386.0,0.07,1.01,1.02,,4.68,5754.0,4.43,,0.03640762,0.03640762,0.03640762,0.036407621,770.8748,770.8748,770.8748,1342.4276,1342.4276,1342.4276,Neptunian,1.02,1.0218059,0.75969748,1.7909744,0.96225166,1.6980065,1.0175484,1.6980065,0.92887214,1.6980065,2.7292793,1.9532174,0.46420121,0.0,0.0,0.0,0.22537228,2.65677,7.5431552,0.03640762
10872983,K00756.01,Kepler-228 d,11.09432054,171.20116,0.538,4.5945,1517.5,3.9,835.0,114.81,66.5,6046.0,4.486,0.972,296.28613,48.22467,15.714,3.0,,,,11.094286,0.101,,,,,0.0586,Kepler-228,296.28614,48.224667,15.714,1724.6,,,1.01,,,6043.0,4.47,,0.101,0.101,0.101,0.101,119.48105,119.48105,119.48105,842.30556,842.30556,842.30556,Neptunian,1.01,1.2188262,0.8152862,1.9084567,1.0326534,1.8093906,1.0917237,1.8093906,0.99678732,1.8093906,2.9808125,,,0.0,0.0,0.0,0.18437855,4.0356,15.338906,0.101
10872983,K00756.02,Kepler-228 c,4.13443512,172.97937,0.762,3.1402,686.0,2.77,1160.0,427.65,40.2,6046.0,4.486,0.972,296.28613,48.22467,15.714,3.0,,,,4.134444,0.052,,,,,0.0301,Kepler-228,296.28614,48.224667,15.714,1724.6,,,1.01,,,6043.0,4.47,,0.052,0.052,0.052,0.052000001,450.74932,450.74932,450.74932,1173.8935,1173.8935,1173.8935,Neptunian,1.01,1.2188262,0.8152862,1.9084567,1.0326534,1.8093906,1.0917237,1.8093906,0.99678732,1.8093906,2.9808125,,,0.0,0.0,0.0,0.22460198,2.70161,7.7605729,0.052
10872983,K00756.03,Kepler-228 b,2.56658897,179.55437,0.755,2.429,226.5,1.59,1360.0,807.74,15.0,6046.0,4.486,0.972,296.28613,48.22467,15.714,3.0,,,,2.566546,0.038,,,,,0.022,Kepler-228,296.28614,48.224667,15.714,1724.6,,,1.01,,,6043.0,4.47,,0.038,0.038,0.038,0.038000001,844.06245,844.06245,844.06245,1373.215,1373.215,1373.215,Superterran,1.01,1.2188262,0.8152862,1.9084567,1.0326534,1.8093906,1.0917237,1.8093906,0.99678732,1.8093906,2.9808125,,,0.0,0.0,0.0,0.27942875,1.52456,2.9378483,0.038
6721123,K00114.01,,7.36178958,132.25053,1.169,5.022,233.7,39.21,1342.0,767.22,47.7,6227.0,3.986,1.958,298.86435,42.151569,12.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10910878,K00757.01,Kepler-229 c,16.06864674,173.621937,0.052,3.5347,4914.3,5.76,600.0,30.75,161.9,5031.0,4.485,0.848,286.99948,48.37579,15.841,3.0,,,,16.068638,0.117,,,,,0.138,Kepler-229,286.99947,48.375797,15.841,845.88,,,0.73,,,5120.0,4.63,,0.117,0.117,0.117,0.117,23.96859,23.96859,23.96859,563.70973,563.70973,563.70973,Neptunian,0.73,0.32810603,0.44602308,1.0733664,0.56495273,1.017648,0.59779895,1.017648,0.54539528,1.017648,1.5465746,,,0.0,0.0,0.0,0.19851281,4.92119,21.482244,0.117
